Rail Car,Source,Event Date,Event Code,Event Location
HS2825,Raven,2021-03-20T00:22:00,Z,UNION YARD,MN [BNSF]
HS2828,Raven,2021-03-22T06:16:00,P,WATTS,OK [KCS]
HS2833,Raven,2021-03-22T11:19:00,W,MADISON,GA [NS]
HS2840,Raven,2021-03-21T18:19:00,B,WEST COLTON,CA [UP]
HS2845,Raven,2021-03-22T11:37:00,W,MADISON,GA [NS]
HS2846,Raven,2021-03-20T17:22:00,A,MACON,GA [NS]
HS2848,Raven,2021-03-09T14:37:00,W,SILLS,NY [NYNJ]
HS2850,Raven,2021-03-22T05:01:00,A,RARITAN CENTER,NJ [RCRY]
HS2855,Raven,2021-03-22T06:18:00,P,DOTHAN,AL [CSXT]
HS2857,Raven,2021-03-15T16:08:00,W,GREEN LIGHT SPUR,TX [UP]
HS2873,Raven,2021-03-20T15:48:32,W,GRAND PRAIRIE,TX [UP]
HS2880,Raven,2021-03-22T02:00:00,A,CHAMPAIGN,IL [CN]
HS2881,Raven,2021-03-05T09:05:00,W,RARITAN CENTER,NJ [RCRY]
HS2882,Raven,2021-03-22T10:17:00,W,TAYLORSVILLE,MS [CN]
HS2886,Raven,2021-03-22T04:06:00,Y,LA MIRADA,CA [BNSF]
HS2888,Raven,2021-03-22T04:20:00,A,JACKSON,MS [CN]
HS2890,Raven,2021-03-15T16:08:00,W,GREEN LIGHT SPUR,TX [UP]
HS2891,Raven,2021-03-22T03:44:00,A,LA MIRADA,CA [BNSF]
HS2892,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2893,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2895,Raven,2021-03-22T09:04:00,P,FARGO,OK [BNSF]
HS2900,Raven,2021-03-20T01:41:00,Y,SARATOGA,MS [CN]
HS2901,Raven,2021-03-16T23:13:00,A,EOLA,IL [BNSF]
HS2902,Raven,2021-03-20T15:54:00,W,GRAND PRAIRIE,TX [UP]
HS2908,Raven,2021-03-16T23:17:00,W,GREEN LIGHT SPUR,TX [UP]
HS2912,Raven,2021-03-09T14:37:00,W,SILLS,NY [NYNJ]
HS2914,Raven,2021-03-21T17:00:00,A,ALBUQUERQUE,NM [BNSF]
HS2919,Raven,2021-03-22T00:01:00,A,ENGLEWOOD,TX [UP]
HS2921,Raven,2021-03-16T05:42:00,W,PIPEOLA,AZ [UP]
HS2928,Raven,2021-03-21T16:17:00,A,MACON,GA [NS]
HS2939,Raven,2021-03-18T09:07:00,R,FORDYCE,AR [ALM]
HS2941,Raven,2021-03-05T15:57:00,W,SOLON,OH [WE]
HS2946,Raven,2021-03-17T05:52:00,W,PIPEOLA,AZ [UP]
HS2947,Raven,2021-03-12T05:04:00,W,PIPEOLA,AZ [UP]
HS2948,Raven,2021-03-19T15:03:00,W,ALBUQUERQUE,NM [BNSF]
HS3105,Raven,2021-03-21T15:30:00,A,NORTH LITTLE ROCK,AR [UP]
HS3130,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS3140,Raven,2021-03-16T23:17:00,W,GREEN LIGHT SPUR,TX [UP]
HS3143,Raven,2021-03-12T00:11:00,J,NORTH YARDFTW,TX [UP]
HS3191,Raven,2021-03-22T11:30:00,A,PORT ROBINSON,ON [CN]
HS3196,Raven,2021-03-22T06:02:00,X,GURDON,AR [AKMD]
HS3206,Raven,2021-03-22T06:16:00,P,ELKHART,IN [NS]
HS3219,Raven,2021-03-21T10:31:00,A,TORONTO MACMIL YARD,ON [CN]
HS3221,Raven,2021-03-22T10:52:00,J,NORTH BAY,ON [ONT]
HS3243,Raven,2021-03-19T22:00:00,A,BUFFALO BISON,NY [NS]
IAIS4093,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS286388,Raven,2021-03-13T07:55:00,Z,KANSAS CITY,MO [KCS]
KCS287171,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS287252,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS287320,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS287462,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS287623,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS287749,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS287909,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS288189,Raven,2021-03-22T10:38:00,A,SHREVEPORT,LA [KCS]
KCS288386,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS288691,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS288722,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCS309206,Raven,2021-03-18T13:20:00,Z,SHANNON,LA [KCS]
KCS310684,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
KCS310823,Raven,2021-03-22T10:38:00,A,SHREVEPORT,LA [KCS]
KCS525287,Raven,2021-03-22T10:38:00,A,SHREVEPORT,LA [KCS]
KCS67314,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
KCSM91272,Raven,2021-03-21T01:00:00,Z,KANSAS CITY,MO [KCS]
KLRX2801,Raven,2021-03-21T03:49:00,Z,DALLAS,TX [KCS]
KLRX2802,Raven,2021-03-20T10:16:00,Z,TALLADEGA,AL [CSXT]
KLRX2803,Raven,2021-03-22T08:49:00,W,TALLADEGA,AL [CSXT]
KLRX2804,Raven,2021-03-22T07:16:00,W,TALLADEGA,AL [NS]
KLRX2806,Raven,2021-03-21T16:30:00,A,COOSA PINES,AL [CSXT]
KLRX2808,Raven,2021-03-22T09:55:00,P,WAUHATCHIE,TN [CSXT]
KLRX2809,Raven,2021-03-22T03:25:00,D,NEWBERRY,SC [NS]
KLRX2812,Raven,2021-03-18T21:09:39,W,FOMBELL,PA [BPRR]
KLRX2813,Raven,2021-03-21T14:06:00,A,SHEFFIELD,AL [NS]
KLRX2815,Raven,2021-03-20T22:25:00,A,BIRMINGHAM,AL [NS]
KLRX2816,Raven,2021-03-19T18:11:00,A,NEWBERRY,SC [NS]
KLRX2822,Raven,2021-03-20T14:15:00,Z,WEST ATHENS,NY [CSXT]
KLRX2824,Raven,2021-03-20T21:15:00,A,ALTOONA,WI [UP]
KLRX2829,Raven,2021-03-22T03:25:00,D,NEWBERRY,SC [NS]
KLRX2830,Raven,2021-03-17T13:30:00,J,NORFOLK,VA [NPB]
KLRX2831,Raven,2021-03-20T02:56:00,AVPL,WILTON,AL [NS]
KLRX2837,Raven,2021-03-21T18:25:00,A,NASHVILLE,TN [CSXT]
KLRX2845,Raven,2021-03-22T09:45:00,A,WAYCROSS,GA [CSXT]
KLRX2848,Raven,2021-03-19T14:25:00,A,SUMNER SIDING,NC [NS]
KLRX2849,Raven,2021-03-22T05:25:00,W,TALLADEGA,AL [NS]
KLRX2850,Raven,2021-03-22T07:27:00,W,TALLADEGA,AL [NS]
KLRX2858,Raven,2021-03-14T11:37:00,Z,TALLADEGA,AL [CSXT]
KLRX2859,Raven,2021-03-22T05:19:00,AVPL,WILTON,AL [NS]
KLRX2860,Raven,2021-03-09T12:12:00,Z,TALLADEGA,AL [CSXT]
KLRX2861,Raven,2021-03-21T05:56:00,D,WINSTON,FL [CSXT]
KLRX2862,Raven,2021-03-22T08:07:00,A,BIRMINGHAM,AL [NS]
KLRX2864,Raven,2021-03-21T05:56:00,D,WINSTON,FL [CSXT]
KLRX2865,Raven,2021-03-22T09:52:00,A,HAGERSTOWN,MD [NS]
KLRX2872,Raven,2021-03-21T16:30:00,A,COOSA PINES,AL [CSXT]
KLRX2874,Raven,2021-03-20T23:05:00,A,CUMBERLAND,MD [CSXT]
KLRX2878,Raven,2021-03-17T00:20:00,W,ELIZABETHCITY,NC [CA]
KLRX2879,Raven,2021-03-22T07:27:00,A,DANVILLE,KY [NS]
KLRX2880,Raven,2021-03-20T12:18:00,A,TALLADEGA,AL [CSXT]
KLRX2883,Raven,2021-03-19T06:15:00,A,CAYCE,SC [NS]
KLRX2886,Raven,2021-03-16T09:41:00,Z,TALLADEGA,AL [CSXT]
KLRX2888,Raven,2021-03-18T16:34:00,W,AUBURNDALE,FL [CSXT]
KLRX2890,Raven,2021-03-20T22:25:00,A,BIRMINGHAM,AL [NS]
KLRX2891,Raven,2021-03-18T20:25:00,A,WAYCROSS,GA [CSXT]
KLRX2893,Raven,2021-03-20T22:25:00,A,BIRMINGHAM,AL [NS]
KLRX2894,Raven,2021-03-22T09:55:00,P,WAUHATCHIE,TN [CSXT]
KLRX2896,Raven,2021-03-20T12:18:00,A,TALLADEGA,AL [CSXT]
KLRX2897,Raven,2021-03-20T02:56:00,AVPL,WILTON,AL [NS]
KLRX2898,Raven,2021-03-16T12:35:00,W,RAPID CITY,SD []
KLRX2899,Raven,2021-03-20T10:16:00,Z,TALLADEGA,AL [CSXT]
KLRX475124,Raven,2021-03-22T06:54:00,A,SPOKAN PORTLAND CEM,WA [BNSF]
KLRX6175,Raven,2021-03-19T11:53:00,W,ASH,MI [NS]
KLRX6183,Raven,2021-03-16T06:56:00,Z,CORSICANA,TX [BNSF]
KLRX6184,Raven,2020-07-13T10:08:00,Z,ASH,MI [NS]
KLRX6187,Raven,2021-03-21T11:55:00,A,OAKWOOD,MI [NS]
KLRX6188,Raven,2021-03-21T16:02:00,A,CHATTANOOGA,TN [NS]
KLRX6198,Raven,2020-07-20T02:08:00,J,CLEARING,IL [BRC]
KLRX6199,Raven,2021-03-22T01:00:00,R,NEW ORLEANS,LA [NS]
KLRX6201,Raven,2021-03-19T09:16:00,A,TEAGUE,TX [BNSF]
KLRX6207,Raven,2021-03-16T20:31:00,Y,TACOMA,WA [UP]
KLRX6208,Raven,2021-03-21T11:55:00,A,OAKWOOD,MI [NS]
KLRX6213,Raven,2021-03-22T08:33:00,A,ELKHART,IN [NS]
KLRX6221,Raven,2021-03-18T12:45:00,A,WAYCROSS,GA [CSXT]
KLRX6222,Raven,2021-03-22T09:08:00,P,PHIL EAST SIDE,PA [CSXT]
KLRX6230,Raven,2021-03-22T11:01:00,P,CAMILLA,GA [GFRR]
KLRX6232,Raven,2021-03-21T14:11:00,A,NASHVILLE,TN [CSXT]
KLRX6236,Raven,2021-03-21T16:16:00,A,ROANOKE,VA [NS]
KLRX6237,Raven,2021-03-21T15:52:00,A,THOMASVILLE,GA [CSXT]
KLRX6238,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
KLRX730682,Raven,2021-03-21T15:45:00,A,BIRMINGHAM,AL [CSXT]
LBR625900,Raven,2021-03-19T14:37:00,W,CRESCO,PA [DL]
LBR625953,Raven,2021-03-21T13:20:00,A,CHARLOTTE,NC [NS]
LBR731166,Raven,2021-03-19T14:37:00,W,CRESCO,PA [DL]
LBR731180,Raven,2021-03-20T00:50:00,J,CHARLOTTE,NC [NS]
LBR732528,Raven,2021-03-15T08:33:00,W,DAVISVILLE,RI []
LBR732806,Raven,2021-03-22T08:05:00,W,MORRISVILLE,PA [SLRS]
LBR733910,Raven,2021-03-20T02:15:00,A,CANDOR,NC [ACWR]
LBR733925,Raven,2021-03-20T14:40:00,A,ALSEN,NY [CSXT]
LBR733940,Raven,2021-03-22T11:59:00,W,ABERDEEN,NC [CSXT]
LW74533,Raven,2021-03-22T08:47:00,P,NORTH BERGEN,NJ [CSXT]
LW879654,Raven,2021-03-22T08:47:00,P,NORTH BERGEN,NJ [CSXT]
MWNX734923,Raven,2021-03-19T12:42:00,W,SALT LAKE CITY,UT [BNSF]
MWNX734934,Raven,2021-03-16T17:28:00,W,TACOMA,WA [BNSF]
NOKL600035,Raven,2021-03-17T15:57:00,Z,MONTGOMERY,IL [BJRY]
NOKL603124,Raven,2021-03-22T09:57:00,P,MECHANICSVILLE,IA [UP]
NOKL603166,Raven,2021-03-08T17:49:00,W,GREEN LIGHT SPUR,TX [UP]
NOKL603167,Raven,2021-03-20T15:48:32,W,GRAND PRAIRIE,TX [UP]
NOKL603186,Raven,2021-03-20T15:41:00,A,NORTH PLATTE WEST,NE [UP]
SHPX202325,Raven,2021-03-17T06:27:00,Z,DODGE CITY,KS [BNSF]
SOXX520771,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
SOXX520779,Raven,2021-03-22T10:38:00,A,SHREVEPORT,LA [KCS]
SOXX521256,Raven,2021-03-22T02:54:00,A,SHORELINE,LA [KCS]
SOXX521328,Raven,2021-03-20T18:53:00,X,KANSAS CITY,MO [KCS]
TBOX639129,Raven,2021-03-22T08:33:00,PA,ROCK CREEK,MT [BNSF]
TBOX639914,Raven,2021-03-19T13:44:00,D,BALDWIN,FL [CSXT]
TBOX640281,Raven,2021-03-21T08:27:00,A,TOLEDO,OH [NS]
TBOX640985,Raven,2021-03-16T22:09:00,A,HOWELLS TRANSFER,GA [CSXT]
TBOX660262,Raven,2021-03-22T07:25:00,P,HOWELLS TRANSFER,GA [CSXT]
TBOX660807,Raven,2021-03-21T22:30:00,A,NASHVILLE,TN [CSXT]
TBOX661685,Raven,2021-03-16T23:13:00,A,EOLA,IL [BNSF]
TBOX663377,Raven,2021-03-21T06:12:00,A,TERRE HAUTE,IN [CSXT]
TBOX663438,Raven,2021-03-22T11:10:00,P,CORDELE,GA [CSXT]
TBOX664478,Raven,2021-03-16T19:58:00,J,MONTGOMERY,IL [BNSF]
TBOX666119,Raven,2021-03-16T22:09:00,A,HOWELLS TRANSFER,GA [CSXT]
TBOX666847,Raven,2021-03-22T08:07:00,P,STONE,SC [CSXT]
TBOX670317,Raven,2021-03-16T19:58:00,J,MONTGOMERY,IL [BNSF]
TBOX675619,Raven,2021-03-22T07:44:00,P,HOWELLS TRANSFER,GA [CSXT]
TILX642166,Raven,2021-03-19T05:45:00,Z,FLAGSTAFF,AZ [BNSF]
TR200706,Raven,2021-03-22T00:38:00,P,WYLIE,TX [KCS]
TR274099,Raven,2021-03-19T19:19:00,B,JACKSON,MS [KCS]
TR274117,Raven,2021-03-22T00:38:00,P,WYLIE,TX [KCS]
UCRY300071,Raven,2021-03-22T07:26:00,P,PHIL EAST SIDE,PA [CSXT]
UP74658,Raven,2021-03-21T13:31:00,A,NORTH PLATTE WEST,NE [UP]